,약국명,주소,전화번호,토요일영업여부,일요일영업여부,토요일종료시간,일요일종료시간
878,대명약국,"서울특별시 종로구 종로 256-1, 대명빌딩 1층 (종로5가)",02-2274-0980,Y,N,2000,None
879,대박약국,"서울특별시 종로구 종로 19, 3층 327호 (종로1가, 르메이에르종로타운)",02-2075-7171,Y,N,1300,None
880,대방약국,"서울특별시 동작구 등용로 127, 103동 203호 (대방동, 현대아파트상가)",02-817-4828,Y,N,1430,None
881,대생약국,서울특별시 강서구 강서로 171  (화곡동),02-2696-8082,Y,N,1600,None
882,대서울약국,"서울특별시 종로구 창경궁로 158, 2층 (원남동)",02-762-6060,Y,N,1430,None
883,대성모약국,"서울특별시 영등포구 시흥대로 655, 1층 (대림동)",02-834-7900,Y,N,1230,None
884,대성약국,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 1층 (내발산동)",02-2691-6675,Y,N,1400,None
885,대성약국,서울특별시 관악구 청림길 8 (봉천동),02-877-3024,Y,N,2200,None
886,대성약국,서울특별시 구로구 개봉로3길 35  (개봉동),02-2066-0120,Y,N,1630,None
887,대성옵티마약국,서울특별시 용산구 회나무로 23 (이태원동),02-794-0389,Y,N,1700,None
888,대신약국,"서울특별시 중랑구 동일로 802, 1층 (중화동)",02-496-7735,Y,N,1500,None
889,대영약국,서울특별시 성북구 월곡로5길 66 (종암동),02-912-6432,Y,N,2200,None
890,대영약국,"서울특별시 도봉구 도봉로129길 26, (쌍문동)",02-904-0403,Y,N,2200,None
891,대영약국,"서울특별시 마포구 모래내로7길 44, (성산동)",02-373-3553,Y,N,1700,None
892,대영약국,"서울특별시 동작구 만양로 26, 215호 (상도동, 건영아파트)",02-827-0965,Y,N,1700,None
893,대영약국,서울특별시 서초구 잠원로14길 29,02-591-9888,Y,N,1800,None
894,대우당약국,서울특별시 금천구 은행나무로 34 (시흥동),02-808-8960,Y,Y,2400,2400
895,대우당약국,서울특별시 동작구 상도로 102 (상도동),02-822-2682,Y,N,2100,None
896,대우마이빌약국,"서울특별시 양천구 공항대로 552, 1층(목동,대우마이빌빌딩)",02-2651-8976,Y,N,1400,None
897,대우사약국,서울특별시 중구 세종대로 22 (남대문로5가),02-753-2703,Y,N,2100,None
898,대우약국,서울특별시 강북구 삼양로 348 (수유동),02-904-2450,Y,N,1500,None
899,대우약국,"서울특별시 구로구 천왕로 106, 골드프라자 1층 104호 (천왕동)",02-2684-9752,Y,Y,1500,1300
900,대우약국,서울특별시 서대문구 통일로40안길 3-1,02-379-5836,Y,N,1900,None
901,대우약국,"서울특별시 은평구 통일로 749, (대조동)",02-387-8626,Y,N,1830,None
902,대우프라자약국,"서울특별시 구로구 고척로 237 (고척동, 부성빌딩)",02-2686-2360,Y,N,1700,None
903,대웅약국,서울특별시 도봉구 우이천로 298 (쌍문동),02-990-2345,Y,N,1300,None
904,대원사약국,"서울특별시 중랑구 중랑역로 90, 대원메디컬빌딩 (중화동)",02-433-3400,Y,Y,1830,2000
905,대원약국,서울특별시 성북구 돌곶이로14길 51 (석관동),02-966-0792,Y,N,1700,None
906,대원약국,"서울특별시 영등포구 당산로 34 (문래동3가,4층)",02-2633-8703,Y,N,1300,None
907,대유약국,"서울특별시 서대문구 모래내로 359, (홍은동)",02-379-4415,Y,Y,2500,2500
908,대인당온누리약국,"서울특별시 금천구 시흥대로 237, (시흥동)",02-803-2111,Y,N,1700,None
909,대일약국,"서울특별시 중랑구 상봉중앙로1길 32, 1층 (상봉동)",02-433-1712,Y,N,1800,None
910,대일약국,서울특별시 동작구 동작대로27길 22 (사당동),02-591-4655,Y,N,2300,None
911,대자연약국,"서울특별시 강동구 구천면로 291, (천호동)",02-474-7576,Y,Y,2130,2130
912,대조약국,"서울특별시 은평구 서오릉로 140, 1층 (대조동)",02-357-7582,Y,N,1700,None
913,대중약국,"서울특별시 성동구 왕십리로 375-1, (하왕십리동)",02-2292-4418,Y,Y,2130,2130
914,대지약국,서울특별시 금천구 독산로 252 (독산동),02-862-8541,Y,N,1800,None
915,대창약국,서울특별시 강북구 월계로 53 (미아동),02-989-2267,Y,N,1500,None
916,대청약국,"서울특별시 강남구 개포로 623, 대청타워 106호 (개포동)",02-3412-0106,Y,Y,2100,2100
917,대치늘푸른약국,서울특별시 강남구 영동대로 225 1층,02-3288-3650,Y,N,1300,None
918,대치메디칼약국,"서울특별시 강남구 남부순환로 2935, (대치동)",02-569-1137,Y,N,1600,None
919,대치약국,"서울특별시 강남구 선릉로86길 42, 102호 (대치동)",02-6954-1778,Y,N,2200,None
920,대치예스약국,"서울특별시 강남구 도곡로 408, 410호 (대치동, 디마크빌딩)",02-555-1150,Y,N,1500,None
921,대치참약국,"서울특별시 강남구 남부순환로 2927, 대치 클래시아 204호,205호 (대치동)",02-501-5920,Y,N,1400,None
922,대치필리아약국,서울특별시 강남구 도곡로63길 12  (대치동),02-508-6116,Y,Y,2200,2100
923,대풍약국,서울특별시 중구 동호로11길 43 (신당동),02-2252-3944,Y,Y,2500,2500
924,대풍약국,서울특별시 성동구 사근동길 6,02-2296-8899,Y,Y,2200,2200
925,대학당약국,서울특별시 관악구 원신길 2-1 (신림동),02-878-7497,Y,N,2100,None
926,대학솔약국,"서울특별시 동대문구 안암로 158, 1층 (제기동)",02-923-3338,Y,Y,2200,2200
927,대학약국,"서울특별시 종로구 창경궁로 162, 1,2층 (원남동)",02-3672-3672,Y,N,1330,None
928,대학약국,"서울특별시 은평구 통일로 1030, 은평헤스티아 B101호 (진관동)",02-388-8825,Y,N,1300,None
929,대학약국,서울특별시 동작구 흑석로 106 (흑석동),02-815-6842,Y,N,1400,None
930,대학약국,서울특별시 구로구 구로동로 149-1 (구로동),02-865-4910,Y,N,1300,None
931,대학약국,서울특별시 성북구 고려대로 89 (안암동5가),02-924-1919,Y,N,1330,None
932,대학약국,서울특별시 서대문구 연세로 37-1  (창천동),02-323-0111,Y,N,1400,None
933,대학약국,"서울특별시 강서구 화곡로 152, CUBE152 (화곡동)",02-2603-0138,Y,Y,1600,1400
934,대학약국,"서울특별시 강동구 동남로 889, 102호 (명일동)",02-426-2200,Y,N,1300,None
935,대학약국,"서울특별시 성동구 사근동길 4, (행당동)",02-2293-0554,Y,N,1230,None
936,대한당약국,서울특별시 용산구 우사단로10길 42 (한남동),02-794-8056,Y,N,1800,None
937,대한약국,"서울특별시 중랑구 신내로16길 17, 105호 (신내동)",02-3421-4200,Y,N,1330,None
938,대한약국,서울특별시 성동구 동호로 102,02-2233-1732,Y,N,1800,None
939,대한약국,"서울특별시 강동구 천호대로 1027, (천호동,일동빌딩)",02-483-9165,Y,N,2100,None
940,대한약국,서울특별시 금천구 금하로 711 (시흥동),02-805-5011,Y,N,1500,None
941,대한약국,"서울특별시 종로구 대학로5길 57, 1,2층 (연건동)",02-3676-1720,Y,N,1300,None
942,대해약국,"서울특별시 중구 퇴계로 393-1, 써니캐슬 1층 101호 (흥인동)",02-2268-4885,Y,N,1330,None
943,대현온누리약국,"서울특별시 강서구 양천로 556, 강서메디칼센터 105호 (등촌동)",02-2668-2525,Y,Y,1530,1400
944,대형약국,"서울특별시 서대문구 북아현로 4, (북아현동)",02-312-0940,Y,Y,1800,2000
945,대호약국,"서울특별시 노원구 한글비석로 384, 대호프라자 317호, 318호 (중계동)",02-939-8144,Y,N,1300,None
946,대화약국,서울특별시 중구 동호로5길 22,02-2238-1333,Y,N,1900,None
947,대화약국,서울특별시 영등포구 국제금융로6길 33,02-780-0809,Y,N,1500,None
948,대흥365약국,"서울특별시 마포구 백범로 98, 1층 (대흥동)",02-713-2060,Y,Y,2200,2200
949,대흥약국,서울특별시 마포구 대흥로 192-1  (대흥동),02-715-3959,Y,N,1900,None
950,대흥약국,"서울특별시 영등포구 신길로39길 13, (신길동)",02-832-1894,Y,N,2130,None
951,대흥온누리약국,"서울특별시 마포구 신촌로 160, 106호 (대흥동, 이대역스타힐스)",02-716-7582,Y,N,1400,None
952,더건강약국,"서울특별시 송파구 중대로 193, 주식회사홈캐스트 1층 (가락동)",02-402-2282,Y,N,1430,None
953,더건강약국,"서울특별시 강서구 강서로 206, 1층 (화곡동)",02-2699-2275,Y,N,1600,None
954,더나은약국,"서울특별시 중랑구 동일로 641, 대원빌딩 1층 (면목동)",02-6462-1335,Y,N,1400,None
955,더나은약국,"서울특별시 강서구 공항대로 271, 이천이프라자 1층 103호 (마곡동)",02-3663-1335,Y,N,2000,None
956,더나은약국,"서울특별시 영등포구 당산로 83, 1층 105-1호 (당산동2가, 한화포레나당산)",02-3280-5837,Y,N,1400,None
957,더나은약국,"서울특별시 광진구 천호대로 570, 1층 101호 (능동)",02-456-8209,Y,N,1400,None
958,더바른약국,"서울특별시 강동구 구천면로 241, 1층 (천호동)",02-478-0852,Y,N,1500,None
959,더밝은약국,"서울특별시 성동구 마조로9길 15, 1층 (행당동)",02-2281-7923,Y,Y,2300,2200
960,더봄약국,"서울특별시 강남구 선릉로 325, 중앙빌딩 1층 4호 (역삼동)",02-555-2336,Y,N,1700,None
961,더블유수약국,"서울특별시 강남구 압구정로 316, 1층 1호 (신사동, 영진빌딩)",02-512-2165,Y,N,1900,None
962,더블유스토어아름다운약국,서울특별시 영등포구 영중로 6 (영등포동3가),02-3667-5617,Y,Y,1900,1700
963,더블유스토어연세약국,"서울특별시 마포구 신촌로 92, 1층 (노고산동, 카리스빌딩)",02-3141-4358,Y,Y,2000,2000
964,더블유스토어푸른약국,서울특별시 구로구 도림로 73  (구로동),02-855-6007,Y,N,1400,None
965,더블유스토어하이약국,"서울특별시 서초구 사임당로 39, 한성빌딩 (서초동)",070-4117-8275,Y,N,1530,None
966,더블유약국,서울특별시 동작구 양녕로 264 (상도1동),02-821-0007,Y,N,1400,None
967,더블유약국,"서울특별시 강남구 강남대로 468, 1층 (역삼동, 충림빌딩)",02-557-9135,Y,N,1700,None
968,더블유약국,"서울특별시 송파구 올림픽로 100, 효창타워 1층 (잠실동)",02-415-1559,Y,N,1630,None
969,더블유열린약국,서울특별시 양천구 신목로 34  (신정동),02-2655-2388,Y,N,1800,None
970,더사랑약국,"서울특별시 성북구 아리랑로 16, 1층 104호 (동선동4가)",02-921-1246,Y,N,1400,None
971,더사랑약국,"서울특별시 성북구 아리랑로 16, 1층 104호 (동선동4가)",050-71333-1246,Y,N,1400,None
972,더사랑약국,서울특별시 노원구 한글비석로 331  (중계동),02-933-3678,Y,N,1700,None
973,더사랑약국(The사랑약국),"서울특별시 강북구 삼양로 190, 백운M빌딩 1층 (미아동)",02-980-7947,Y,N,1800,None
974,더샵스타시티약국,"서울특별시 광진구 아차산로 272 (자양동, 스타시티쇼핑몰)",0220241311,Y,Y,2300,2300
975,더선약국,"서울특별시 양천구 공항대로 630, 1층 (목동, 어바니엘)",02-6949-3088,Y,N,1500,None
976,더원약국,"서울특별시 서초구 반포대로 291, 5층 541호 (반포동)",050-703-4886,Y,N,1400,None
977,더조은약국,"서울특별시 노원구 한글비석로 235, 하나프라자빌딩 4층 405호 (중계동)",02-930-9894,Y,N,1330,None
978,더조은약국,"서울특별시 강서구 곰달래로49길 29, 103호 (화곡동)",02-2699-7007,Y,N,1400,None
979,더조은약국,서울특별시 강남구 자곡로3길 21 상가1동 B202호,02-459-3005,Y,N,1530,None
980,더조은약국,"서울특별시 강동구 상암로 41, 1층 120, 120-1호 (암사동, 암사동양덱스빌)",02-428-2588,Y,N,1400,None
981,더참사랑약국,"서울특별시 광진구 아차산로 361, 1층 (자양동)",02-455-7077,Y,N,1530,None
982,더클래식약국,"서울특별시 광진구 능동로 90, 1층 104-2호 (자양동, 더클래식500)",02-455-4565,Y,Y,2500,2500
983,더튼튼약국,"서울특별시 도봉구 노해로65길 18, 1층 101호 (창동)",02-999-0105,Y,Y,1600,1400
984,더푸른약국,"서울특별시 관악구 관악로 195, 1층 104호 (봉천동, 관악위버폴리스)",02-888-7575,Y,N,1500,None
985,더하늘약국,서울특별시 서초구 강남대로 509 ,02-540-2636,Y,N,1800,None
986,더하늘약국,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 3층 3B12호 (잠실동)",02-3431-8808,Y,N,1400,None
987,더함약국,"서울특별시 송파구 올림픽로 145, 리센츠 4층 4B01호 (잠실동)",02-423-2270,Y,N,1430,None
988,더함약국,"서울특별시 송파구 올림픽로 145, 리센츠 4층 4B01호 (잠실동)",02-423-2270,Y,N,1430,None
989,더행복약국,서울특별시 은평구 은평로 200-1 (응암동),02-387-3515,Y,N,1730,None
990,더힘찬약국,"서울특별시 성동구 독서당로 302, 3층 (금호동4가)",02-2299-0104,Y,Y,1500,1300
991,덕성그린약국,"서울특별시 강북구 삼양로 530, 1층 (우이동)",02-6397-9974,Y,Y,2000,2000
992,덕성온누리약국,"서울특별시 성북구 아리랑로 89, 102호 (돈암동, 일신건영휴먼빌 상가 )",02-922-0555,Y,N,1800,None
993,덕수궁돌담약국,"서울특별시 중구 세종대로 83, 1층 (태평로2가)",02-318-3758,Y,N,1300,None
994,덕수약국,"서울특별시 중랑구 중랑역로 33, 1층 (중화동)",02-2209-4996,Y,N,1330,None
995,덕인약국,"서울특별시 강동구 구천면로 287, (천호동)",02-471-2772,Y,N,1620,None
996,도곡메디칼약국,"서울특별시 강남구 도곡로 242, 지하1층 103호, 1층 201호 (도곡동, 삼호아파트(삼호상가))",02-3462-9095,Y,Y,1300,1500
997,도곡명약국,"서울특별시 강남구 도곡로28길 8, 상가동 102,103호 (도곡동, 도곡1차 I PARK)",02-6953-7755,Y,N,1600,None
998,도곡약국,"서울특별시 강남구 논현로28길 2, 1층 (도곡동)",02-6407-7656,Y,N,1400,None
999,도곡우리약국,"서울특별시 강남구 선릉로 225, 214호 (도곡동, 도곡렉슬아파트)",02-529-8588,Y,N,1400,None
1000,도곡타워약국,"서울특별시 강남구 언주로30길 21, B1층 101-24A호 (도곡동, 아카데미스위트)",02-529-2916,Y,Y,2130,2130
1001,도남희약국,"서울특별시 관악구 난향2길 8, 1층 (신림동)",02-868-7231,Y,N,1700,None
1002,도담약국,"서울특별시 성동구 왕십리로 410, 상가L동 221-1, 222호 (하왕십리동, 센트라스)",02-2294-1185,Y,N,1500,None
1003,도담약국,"서울특별시 송파구 동남로 209, 1층 101호 (가락동)",02-449-9205,Y,N,1500,None
1004,도담약국,"서울특별시 노원구 공릉로43길 1, 104호 (공릉동)",02-979-0903,Y,N,1500,None
1005,도담약국,"서울특별시 성북구 동소문로 305, 지층 (길음동)",02-945-7650,Y,N,1400,None
1006,도래약국,서울특별시 송파구 마천로 341 (마천동),02-2236-1470,Y,N,2200,None
1007,도림우리들약국,"서울특별시 영등포구 도신로15길 40, 103호 (도림동)",02-831-9630,Y,N,1300,None
1008,도봉월드약국,서울특별시 도봉구 마들로 650,02-3491-3158,Y,N,1600,None
1009,도봉태평양약국,서울특별시 도봉구 도봉로 821,02-955-6228,Y,Y,2200,2200
1010,도세영약국,"서울특별시 강남구 남부순환로363길 12-9, 1층일부(도곡동)",02-571-0651,Y,N,2000,None
1011,도심공항약국,서울특별시 강남구 테헤란로87길 22 2층 (삼성동),02-554-4906,Y,Y,1900,1900
1012,도영약국,"서울특별시 송파구 오금로 507, 거여빌딩 1층 (거여동)",02-404-7355,Y,N,2130,None
1013,도원약국,"서울특별시 마포구 마포대로 52, 고려아카데미텔Ⅱ 1층 105호 (도화동)",02-715-3095,Y,N,1500,None
1014,도원약국,"서울특별시 성동구 장터길 45-1, (금호동3가)",02-2252-3942,Y,Y,2359,2330
1015,도일약국,"서울특별시 서초구 사평대로55길 10, (반포동)",02-548-2348,Y,N,2130,None
1016,도토리약국,"서울특별시 금천구 금하로 793, 상가에이동 2층 207호 (시흥동, 벽산아파트)",02-2039-1197,Y,N,1430,None
1017,독산메디칼약국,서울특별시 금천구 독산로 210 (독산동),02-804-1725,Y,N,2000,None
1018,독산종로약국,서울특별시 금천구 독산로 360,02-839-8197,Y,Y,2000,1600
1019,독수리약국,"서울특별시 송파구 중대로 135 (가락동, IT벤처타워 동관 101호)",02-2142-1111,Y,N,1600,None
1020,독수리약국,"서울특별시 서대문구 연세로 36, 독수리빌딩 1층, 2층 (창천동)",02-3147-0770,Y,N,1400,None
1021,독일사약국,"서울특별시 중구 마장로9길 45, 1층 (황학동)",02-2236-0005,Y,N,1600,None
1022,독일약국,"서울특별시 구로구 오리로 1297, 1층 (궁동,청파빌딩)",02-2681-9495,Y,N,2000,None
1023,독일약국,"서울특별시 마포구 도화4길 19, (도화동)",02-702-3852,Y,N,2100,None
1024,독일약국,"서울특별시 종로구 종로 314, (창신동)",02-764-5511,Y,N,2100,None
1025,돌곶이온누리약국,"서울특별시 성북구 화랑로 248, 장위뉴타워 102호, 102-1호 (석관동)",02-967-5555,Y,N,1500,None
1026,동경약국,"서울특별시 마포구 신촌로16길 4, 1층 101호 (노고산동)",02-334-7668,Y,N,2200,None
1027,동광약국,서울특별시 동작구 동작대로 129 (사당동),02-534-7575,Y,Y,2230,2230
1028,동국약국,"서울특별시 중구 서애로1길 16, (필동3가)",02-2267-6767,Y,N,1600,None
1029,동그라미약국,서울특별시 성북구 아리랑로 117-7 (정릉동),050-71314-2457,Y,N,1400,None
1030,동그라미약국,"서울특별시 강남구 압구정로 156, 카로시티2빌딩 1층 110호 (신사동)",02-543-6433,Y,N,1700,None
1031,동남약국,"서울특별시 종로구 종로 124, (종로3가)",02-2273-3233,Y,Y,2200,2000
1032,동남약국,"서울특별시 중랑구 신내로 45, 해성빌딩 1층 (신내동)",02-2207-3356,Y,Y,1900,1900
1033,동남온누리약국,"서울특별시 강동구 성내로 4, (성내동)",02-478-9587,Y,N,1900,None
1034,동대문연약국,"서울특별시 종로구 종로 272, 동대문종합시장 신관 신관동 지하1층 018호 (종로6가)",02-2274-7889,Y,N,1600,None
1035,동대문허브약국,"서울특별시 중구 장충단로 263, 밀리오레상가건물 13층 6호 (을지로6가)",02-3393-0077,Y,N,1500,None
1036,동명약국,"서울특별시 강동구 양재대로 1384, 미림빌딩 1층 6호 (둔촌동)",02-472-4321,Y,N,1500,None
1037,동명온누리약국,"서울특별시 강남구 선릉로64길 5 (대치동, 라이온스빌딩)",02-555-1950,Y,Y,1930,2100
1038,동문약국,서울특별시 중구 을지로41길 14 (을지로6가),02-2271-1702,Y,N,1200,None
1039,동문약국,서울특별시 노원구 공릉로59나길 78-10 (하계동),02-949-7070,Y,N,1300,None
1040,동민약국,"서울특별시 성북구 오패산로 99, 102호 (하월곡동, 동민빌딩)",02-6925-0008,Y,Y,1500,1400
1041,동방약국,"서울특별시 영등포구 도림로31길 12, 1층 2호 (대림동)",02-832-8583,Y,Y,2230,2230
1042,동방약국,서울특별시 관악구 인헌6길 9 (봉천동),02-874-2231,Y,N,1400,None
1043,동방약국,"서울특별시 노원구 노해로 456, 동방빌딩 1층 (상계동)",02-934-8333,Y,N,1330,None
1044,동방약국,서울특별시 강서구 강서로 186 (화곡동) ,02-2605-4250,Y,Y,1630,1300
1045,동백약국,"서울특별시 서대문구 증가로 145, 1층 103호 (남가좌동)",02-6952-1701,Y,N,1400,None
1046,동백약국,"서울특별시 금천구 금하로 651, 1층 (시흥동)",02-802-0478,Y,N,1400,None
1047,동보약국,서울특별시 영등포구 영중로 22  (영등포동3가),02-2678-0362,Y,N,2200,None
1048,동부대학약국,"서울특별시 동대문구 무학로 122, 1층 (용두동)",02-921-3212,Y,N,1300,None
1049,동부메디칼약국,서울특별시 동대문구 무학로 128 (용두동),02-922-7627,Y,N,1200,None
1050,동부약국,서울특별시 성북구  숭인로2길  61 (길음동),02-983-7950,Y,Y,1900,1900
1051,동부약국,"서울특별시 중랑구 망우로 503, 동부약국 1층 (망우동)",070-7584-8073,Y,N,1600,None
1052,동부약국,서울특별시 용산구 이촌로 245,02-795-6242,Y,N,2230,None
1053,동북약국,"서울특별시 강북구 솔샘로 233, 305호 (미아동)",02-945-5505,Y,N,1600,None
1054,동산약국,"서울특별시 동대문구 왕산로 225, A동 1층 32-1호 (청량리동, 미주상가)",02-963-5500,Y,N,1700,None
1055,동산약국,"서울특별시 노원구 동일로 1280, 1층 109호,110호 (중계동, 무지개아파트단지내상가)",02-948-9476,Y,N,1830,None
1056,동산온누리약국,"서울특별시 강서구 양천로 606, (등촌동)",02-3663-7953,Y,N,1400,None
1057,동삼약국,서울특별시 중랑구 면목로 344-1 (면목동),02-433-3760,Y,N,1800,None
1058,동서약국,서울특별시 종로구 종로 222 (종로5가),02-2278-2140,Y,N,1930,None
1059,동서약국,"서울특별시 송파구 마천로5길 4 (오금동, 4층)",02-403-4737,Y,N,1400,None
1060,동서온누리약국,서울특별시 강동구 풍성로37가길 39,02-476-6262,Y,N,1430,None
1061,동서옵티마약국,"서울특별시 성북구 동소문로 304, 이재범치과의원 1층 (하월곡동)",02-943-3572,Y,N,1500,None
1062,동서울약국,"서울특별시 광진구 강변역로 50, 동서울종합터미널 124호 (구의동)",02-452-0015,Y,Y,2200,2200
1063,동성약국,서울특별시 강서구 금낭화로23길 8,02-2666-5092,Y,N,2100,None
1064,동성약국,"서울특별시 중랑구 겸재로 84, (면목동)",02-432-1653,Y,N,2200,None
1065,동성약국,서울특별시 구로구 디지털로19길 51,02-854-3357,Y,N,2100,None
1066,동성약국,"서울특별시 강남구 삼성로 212  (대치동, 은마아파트)",02-566-3728,Y,N,1800,None
1067,동성온누리약국,서울특별시 성북구 안암로 105 (안암동5가),02-923-6788,Y,Y,2100,2100
1068,동시약국,"서울특별시 종로구 종로 202-1 (종로4가, 동흥빌딩)",02-2268-4055,Y,Y,2000,1900
1069,동신당약국,서울특별시 영등포구 양산로 138-1  (당산동1가),02-2677-8277,Y,Y,1900,1900
1070,동아약국,서울특별시 강북구 도봉로 118 (미아동),02-985-1448,Y,N,1430,None
1071,동아약국,"서울특별시 동대문구 서울시립대로 31, 102-119호 (전농동, 동아아파트)",02-2214-7937,Y,Y,2300,2200
1072,동아약국,"서울특별시 강동구 천호대로 997, (천호동)",02-485-4195,Y,N,1500,None
1073,동아약국,서울특별시 중랑구 동일로130길 52  (중화동),02-434-6683,Y,N,2130,None
1074,동아약국,"서울특별시 송파구 올림픽로 114, 2층 (잠실동, 서경빌딩)",02-419-3141,Y,N,1500,None
1075,동아약국,서울특별시 종로구 종로 192 (종로4가),02-2285-5702,Y,Y,2030,2000
1076,동아약국,서울특별시 용산구 회나무로 16 (이태원동),02-794-8873,Y,Y,1300,1900
1077,동아온누리약국,서울특별시 금천구 시흥대로 371 (독산동),02-804-0582,Y,N,1900,None
1078,동오약국,서울특별시 용산구 보광로 18 (보광동),02-749-1293,Y,Y,2130,2100
1079,동우약국,서울특별시 서초구 남부순환로356길 15,02-574-2678,Y,N,2100,None
1080,동원약국,서울특별시 관악구 신림로 360-1 (신림동),02-883-7525,Y,N,1330,None
1081,동의삼성약국,서울특별시 송파구 거마로22길 49  (마천동),02-400-2636,Y,Y,2200,2200
1082,동의송도약국,"서울특별시 강서구 강서로54길 79, 1층 (등촌동)",02-2659-0832,Y,N,1500,None
1083,동의온누리약국,서울특별시 강남구 논현로64길 22 1층 (역삼동),02-508-3597,Y,N,1500,None
1084,동인약국,"서울특별시 관악구 인헌길 76, 1층 (봉천동)",02-872-0088,Y,N,1700,None
1085,동인약국,서울특별시 종로구 창신길 11,02-743-7371,Y,Y,1800,1800
1086,동인프라자약국,서울특별시 양천구 남부순환로40길 13 (신월동),02-2605-9844,Y,N,1600,None
1087,동인프라자온누리약국,"서울특별시 강남구 밤고개로1길 10, 117-2호 (수서동, 수서현대벤쳐빌)",02-3411-3388,Y,N,2100,None
1088,동일약국,서울특별시 노원구 동일로 1341 (상계동),02-936-0811,Y,N,1600,None
1089,동일약국,서울특별시 양천구 월정로 139-1,02-2625-2282,Y,N,2100,None
1090,동일프라자약국,"서울특별시 양천구 신정로7길 60-5, 107호(신정동,동일프라자빌딩)",02-2687-9416,Y,N,1930,None
1091,동주약국,서울특별시 강동구 명일로 243 (길동),02-486-2664,Y,N,1600,None
1092,동틀약국,서울특별시 성동구 동일로 135(성수동2가),02-465-0085,Y,Y,1830,1700
1093,동해물약국,"서울특별시 구로구 구로동로 138, (구로동)",02-863-5333,Y,N,1250,None
1094,동해물약국,"서울특별시 서초구 동광로12가길 42, 1층 (방배동)",02-594-3141,Y,N,1800,None
1095,동현당약국,"서울특별시 강남구 언주로146길 18  (논현동, 동현아파트)",02-547-8207,Y,N,2130,None
1096,동현약국,서울특별시 강동구 양재대로127길 19 (천호동),02-472-7722,Y,Y,2200,2200
1097,동호약국,서울특별시 강남구 테헤란로114길 16,02-567-3935,Y,N,1600,None
1098,동호일층약국,"서울특별시 중랑구 동일로 925, 1층 (묵동)",02-949-1630,Y,N,1600,None
1099,동화약국,"서울특별시 종로구 창경궁로 234, 동화빌딩 103호 (명륜4가)",02-762-0045,Y,N,1330,None
1100,동화약국,서울특별시 중구 다산로34길 47 (신당동),02-2234-9666,Y,N,2100,None
1101,두드림온누리약국,"서울특별시 동대문구 천호대로 267, DANA 1층 102호 (답십리동)",02-6949-5444,Y,N,1700,None
1102,두레약국,"서울특별시 은평구 증산로9길 13, 105호 (증산동, 문영마운틴아파트)",02-305-8887,Y,N,1800,None
1103,두레약국,"서울특별시 강동구 고덕로83길 6, 101호 (고덕동)",02-429-1662,Y,Y,1800,1800
1104,두루미약국,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 110호,111호 (명일동)",02-426-1007,Y,N,1700,None
1105,두리약국,서울특별시 서초구 사임당로 180,02-583-9305,Y,Y,1400,1300
1106,두리약국,서울특별시 강남구 일원로 35,02-445-3188,Y,N,1400,None
1107,두리약국,"서울특별시 성북구 돌곶이로 37, 1층 (석관동, 상지빌딩)",02-969-3394,Y,N,1330,None
1108,두리약국,"서울특별시 송파구 송이로 239, 도은빌딩 1층 4호 (문정동)",02-431-7999,Y,N,1500,None
1109,두산약국,"서울특별시 구로구 구로중앙로 16, 1층(구로동)",02-859-6414,Y,Y,1600,1300
1110,두산약국,"서울특별시 관악구 봉천로 391, 113호 (봉천동, 두산아파트)",028882369,Y,Y,2200,2200
1111,둔촌세계로약국,"서울특별시 강동구 양재대로 1319, 경일빌딩 1층 106호 (성내동)",02-471-4700,Y,N,2000,None
1112,둔촌온누리약국,"서울특별시 강동구 양재대로 1325, 102,103호 (성내동)",02-473-2448,Y,N,1500,None
1113,드림삼성약국,"서울특별시 관악구 구암길 106, 206호 (봉천동, 관악드림타운 분산상가동)",02-871-8432,Y,N,1530,None
1114,드림약국,"서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 128-2호 (영등포동4가)",02-2068-1636,Y,Y,2100,2100
1115,드림약국,"서울특별시 서초구 서초중앙로22길 8, 행림약품 1층 2호 (서초동)",02-522-5776,Y,N,1800,None
1116,드림약국,"서울특별시 송파구 올림픽로35길 10, 파크리오 B동 201호 (신천동)",02-423-2771,Y,N,1400,None
1117,드림약국,"서울특별시 노원구 동일로 1677, 1층 (상계동, 제성빌딩)",02-937-0400,Y,N,1700,None
1118,드림약국,서울특별시 서대문구 수색로 26 (남가좌동),02-302-7111,Y,N,1400,None
1119,드림약국,서울특별시 중랑구 사가정로 395 (면목동),02-432-6641,Y,N,1400,None
1120,드림약국,"서울특별시 강북구 덕릉로 136, 2층 (번동, 삼양빌딩)",02-853-1854,Y,N,1600,None
1121,드림약국,서울특별시 동대문구 천호대로 8 (신설동),02-2231-9196,Y,N,1500,None
1122,드림약국,서울특별시 성북구 돌곶이로27길 79 (장위동),02-916-6222,Y,N,1400,None
1123,드림약국,서울특별시 강남구 논현로 717,02-548-3856,Y,N,1300,None
1124,드림약국,"서울특별시 양천구 목동서로 256, 동문빌딩 1층 (목동)",02-2654-9503,Y,N,1500,None
